Transaction ID,Customer ID,Amount (TRY),Timestamp,Payment Type,Shipping Type,Card Type (BIN),Shipping City,IS_FRAUD (Target)
10000,151,250.4451887606981,2023-01-19 18:48:00,Debit Card,Pick-up,Amex,Ankara,0
10001,192,1163.2637785961203,2023-01-08 10:58:00,Credit Card,Standard,Amex,Antalya,0
10002,114,85.816892034053,2023-01-19 00:43:00,Bank Transfer,Express,MasterCard,Izmir,0
10003,171,990.5949440256035,2023-01-05 16:53:00,Bank Transfer,Standard,Amex,Bursa,0
10004,160,460.18168084179376,2023-01-26 09:44:00,Debit Card,Standard,Visa,Istanbul,0
10005,120,724.7323069074372,2023-01-21 18:14:00,Bank Transfer,Standard,Visa,Bursa,0
10006,182,10120.590898582575,2023-01-01 03:57:00,Bank Transfer,Express,Amex,Bursa,1
10007,186,1885.4131332531538,2023-01-09 02:36:00,Debit Card,Pick-up,MasterCard,Izmir,0
10008,174,191.21173068536592,2023-01-04 01:54:00,Bank Transfer,Express,Amex,Antalya,0
10009,174,1091.772301654068,2023-01-27 06:25:00,Debit Card,Pick-up,Visa,Izmir,0
10010,187,1770.94029734822,2023-01-21 05:00:00,Credit Card,Standard,Visa,Istanbul,0
10011,199,210.8916421588215,2023-01-04 11:14:00,Debit Card,Pick-up,Visa,Izmir,0
10012,123,1657.802391448826,2023-01-03 22:34:00,Credit Card,Standard,Amex,Ankara,0
10013,102,747.7126343101291,2023-01-03 14:44:00,Credit Card,Standard,Visa,Bursa,0
10014,121,678.0846693277039,2023-01-26 23:25:00,Bank Transfer,Express,MasterCard,Antalya,0
10015,152,1956.0594533138324,2023-01-25 05:12:00,Bank Transfer,Standard,Amex,Istanbul,0
10016,101,441.67522523147363,2023-01-30 07:35:00,Bank Transfer,Express,Amex,Bursa,0
10017,187,1401.7281846042279,2023-01-17 02:25:00,Debit Card,Pick-up,Visa,Izmir,0
10018,129,10696.87844005246,2023-01-29 02:53:00,Bank Transfer,Pick-up,Visa,Ankara,1
10019,137,130.30781579457977,2023-01-09 07:59:00,Credit Card,Standard,MasterCard,Izmir,0
10020,101,1357.2516437911038,2023-01-26 08:07:00,Bank Transfer,Express,Amex,Bursa,0
10021,163,1905.5224499928875,2023-01-02 19:01:00,Bank Transfer,Standard,Visa,Istanbul,0
10022,159,292.22893511971574,2023-01-02 22:03:00,Debit Card,Express,MasterCard,Antalya,0
10023,120,1797.6315402358248,2023-01-20 00:14:00,Debit Card,Express,Visa,Bursa,0
10024,132,1209.8144428850253,2023-01-27 21:59:00,Credit Card,Express,Amex,Istanbul,0
10025,175,1252.3789346318244,2023-01-08 07:31:00,Debit Card,Pick-up,Visa,Bursa,0
10026,157,1245.2411409879317,2023-01-18 13:47:00,Bank Transfer,Express,Amex,Ankara,0
10027,121,632.729978357762,2023-01-22 09:55:00,Debit Card,Pick-up,Visa,Izmir,0
10028,188,12133.444056889593,2023-01-08 05:24:00,Credit Card,Express,Amex,Antalya,1
10029,148,1897.3334021305254,2023-01-08 20:32:00,Bank Transfer,Pick-up,MasterCard,Istanbul,0
